time,meterusage
2019-01-01 00:15:00,55.09
2019-01-01 00:30:00,54.64
2019-01-01 00:45:00,55.18
2019-01-01 01:00:00,56.03
2019-01-01 01:15:00,55.77
2019-01-01 01:30:00,55.45
2019-01-01 01:45:00,55.74
2019-01-01 02:00:00,55.8
2019-01-01 02:15:00,55.62
2019-01-01 02:30:00,55.45
2019-01-01 02:45:00,55.52
2019-01-01 03:00:00,56.0
2019-01-01 03:15:00,55.88
2019-01-01 03:30:00,59.57
2019-01-01 03:45:00,62.9
2019-01-01 04:00:00,62.54
2019-01-01 04:15:00,62.18
2019-01-01 04:30:00,62.86
2019-01-01 04:45:00,62.73
2019-01-01 05:00:00,62.84
2019-01-01 05:15:00,63.52
2019-01-01 05:30:00,78.1
2019-01-01 05:45:00,108.79
2019-01-01 06:00:00,111.19
2019-01-01 06:15:00,118.67
2019-01-01 06:30:00,135.37
2019-01-01 06:45:00,142.55
2019-01-01 07:00:00,145.97
2019-01-01 07:15:00,141.31
2019-01-01 07:30:00,133.58
2019-01-01 07:45:00,131.19
2019-01-01 08:00:00,133.22
2019-01-01 08:15:00,135.18
2019-01-01 08:30:00,134.71
2019-01-01 08:45:00,134.07
2019-01-01 09:00:00,134.11
2019-01-01 09:15:00,137.63
2019-01-01 09:30:00,134.85
2019-01-01 09:45:00,137.01
2019-01-01 10:00:00,134.23
2019-01-01 10:15:00,135.59
2019-01-01 10:30:00,136.59
2019-01-01 10:45:00,134.23
2019-01-01 11:00:00,134.19
2019-01-01 11:15:00,137.59
2019-01-01 11:30:00,137.03
2019-01-01 11:45:00,137.12
2019-01-01 12:00:00,135.45
2019-01-01 12:15:00,132.78
2019-01-01 12:30:00,134.73
2019-01-01 12:45:00,135.4
2019-01-01 13:00:00,135.3
2019-01-01 13:15:00,132.93
2019-01-01 13:30:00,133.68
2019-01-01 13:45:00,135.07
2019-01-01 14:00:00,132.15
2019-01-01 14:15:00,131.06
2019-01-01 14:30:00,134.0
2019-01-01 14:45:00,132.56
2019-01-01 15:00:00,131.19
2019-01-01 15:15:00,130.33
2019-01-01 15:30:00,130.77
2019-01-01 15:45:00,131.64
2019-01-01 16:00:00,135.8
2019-01-01 16:15:00,134.58
2019-01-01 16:30:00,131.9
2019-01-01 16:45:00,130.41
2019-01-01 17:00:00,133.33
2019-01-01 17:15:00,138.18
2019-01-01 17:30:00,129.98
2019-01-01 17:45:00,116.3
2019-01-01 18:00:00,108.53
2019-01-01 18:15:00,107.82
2019-01-01 18:30:00,107.84
2019-01-01 18:45:00,106.18
2019-01-01 19:00:00,106.75
2019-01-01 19:15:00,108.4
2019-01-01 19:30:00,105.72
2019-01-01 19:45:00,105.95
2019-01-01 20:00:00,93.74
2019-01-01 20:15:00,87.41
2019-01-01 20:30:00,87.36
2019-01-01 20:45:00,94.94
2019-01-01 21:00:00,132.83
2019-01-01 21:15:00,110.53
2019-01-01 21:30:00,84.24
2019-01-01 21:45:00,80.86
2019-01-01 22:00:00,70.35
